,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MARILIA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
REDE LK DE POSTOS LTDA,"AVENIDA ANTONIETA ALTENFELDER, 2235",Jardim Santa Antonieta,RAIZEN,"6,299",02/05/2022
POSTO E RESTAURANTE BR-153 DE MARILIA LTDA,"AVENIDA JOCKEI CLUBE, 442",Jardim Vista Alegre,IPIRANGA,"6,559",02/05/2022
AUTO POSTO RESERVA PALMITAL LTDA.,"AVENIDA SIGISMUNDO NUNES DE OLIVEIRA, 53",Jardim Nazareth,IPIRANGA,"6,649",02/05/2022
POSTO E RESTAURANTE BR-153 DE MARILIA LTDA,"AVENIDA JOCKEI CLUBE, 415",Jockei Clube,IPIRANGA,"6,759",02/05/2022
AUTO POSTO REPUBLICA BOM JESUS EIRELI,"AVENIDA REPUBLICA, 4767",Palmital Prolong,RAIZEN,"6,829",02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,619",,,,
DESVIO PADRÃO,"0,207",,,,
VALOR MÍNIMO,"6,299",,,,
VALOR MÁXIMO,"6,829",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
